Name,Price,Discount,Rating,Stars,Reputation,Amenities,Location,Category,Activity,Total_Rating,Price_in_IDR,Discount_in_%,Original_Price
Collection O 92130 Hotel Fiducia Kaji,Rp104.234,77% off,(673 Ratings),4.7,Excellent,"AC, TV, AC, + 1 more","Daerah Khusus Ibukota Jakarta, Jakarta",Indonesia Deluxe Double,,673,104234,77,453191
Collection O Manggis Inn,Rp119.508,83% off,(734 Ratings),4.6,Excellent,"Free Wifi, checkmark Created with Sketch. Room service, checkmark Created with Sketch. Toiletries available, + 32 more","Near Jakarta History Museum, Jakarta",Indonesia Standard Double,20 people booked this hotel in last 6 hours,734,119508,83,702988
Collection O Mangga Besar Near Lokasari Square Formerly 45 Residence,Rp114.107,82% off,(387 Ratings),4.7,Excellent,"Free Wifi, Power backup, checkmark Created with Sketch. Room service, + 28 more","Near Mangga Dua Mall, Jakarta",Indonesia Standard Double,3 people booked this hotel in last 30 mins,387,114107,82,633928
Townhouse Oak Gunung Sahari Near Ancol,Rp144.094,79% off,(432 Ratings),4.6,Excellent,"checkmark Created with Sketch. Reception, Free Wifi, TV, + 12 more","14420, Jakarta",Indonesia Deluxe Budget,11 people booked this hotel in last 6 hours,432,144094,79,686162
Capital O 141 Fatmawati Cozy Residence,Rp205.564,66% off,(701 Ratings),4.9,Fabulous,"Free Wifi, CCTV cameras, AC, + 2 more","Near MRT Cipete Raya Station , Jakarta",Indonesia Standard Double,20 people booked this hotel in last 6 hours,701,205564,66,604600
Super OYO Townhouse 2 Hotel Gunung Sahari,Rp160.345,80% off,(929 Ratings),4.7,Excellent,"Coffee/tea maker, Free Wifi, checkmark Created with Sketch. Room service, + 39 more","Near Jakarta International Expo, Jakarta",Indonesia Deluxe Double,4 people booked this hotel in last 30 mins,929,160345,80,801725
Capital O 90635 Tango Juliet Residence,Rp233.788,72% off,(132 Ratings),4.6,Excellent,"AC, TV","Daerah Khusus Ibukota Jakarta, Jakarta",Indonesia Deluxe Double,,132,233788,72,834957
Hotel O Point Inn,Rp120.808,75% off,(713 Ratings),4.7,Excellent,"checkmark Created with Sketch. Dress Hanger, AC, TV, + 2 more","Near Ukrida, Jakarta",Indonesia Standard Double,,713,120808,75,483232
Collection O Mangga Besar Near Mangga Besar Station,Rp117.878,83% off,(408 Ratings),3.9,Good,"Free Wifi, checkmark Created with Sketch. Room service, checkmark Created with Sketch. Toiletries available, + 37 more","DKI Jakarta, Jakarta",Indonesia Deluxe Double,6 people booked this hotel in last 6 hours,408,117878,83,693400
Collection O Tanah Abang Near Stasiun Tanah Abang  Formerly Hotel Bimo Slipi,Rp99.821,84% off,(289 Ratings),3.9,Good,"Parking facility, Free Wifi, Free Wifi, + 17 more","Daerah Khusus Ibukota Jakarta, Jakarta",Indonesia Deluxe Double,12 people booked this hotel in last 6 hours,289,99821,84,623881
Townhouse Oak J&b Gunung Sahari,Rp104.975,69% off,(1925 Ratings),4,Very Good,"Parking facility, Free Wifi, checkmark Created with Sketch. Security, + 12 more","Daerah Khusus Ibukota Jakarta 10720, Jakarta",Indonesia Standard Double,2 people booked this hotel in last 30 mins,1925,104975,69,338629
Hotel O J&b Room Utan Kayu,Rp124.200,77% off,(1036 Ratings),4.5,Excellent,"Free Wifi, CCTV cameras, checkmark Created with Sketch. Fire extinguisher, + 2 more","Near utan kayu raya, Jakarta",Indonesia Standard Double,6 people booked this hotel in last 6 hours,1036,124200,77,540000
Collection O Gambir Near Masjid Istiqlal Formerly Aleander Hotel,Rp127.448,83% off,(728 Ratings),4.3,Very Good,"Free Wifi, checkmark Created with Sketch. Room service, checkmark Created with Sketch. Room service, + 38 more","Near Juanda Station, Jakarta",Indonesia Deluxe Double,22 people booked this hotel in last 6 hours,728,127448,83,749694
Hotel O Cempaka Place Homestay,Rp160.123,75% off,(329 Ratings),4.7,Excellent,"Free Wifi, CCTV cameras, checkmark Created with Sketch. Security, + 7 more","Near Pertamina Meeting Hall, Jakarta",Indonesia Deluxe Double,9 people booked this hotel in last 6 hours,329,160123,75,640492
Hotel O Mangga Besar Near Kota Tua Formerly Fresh Hotel,Rp82.099,85% off,(74 Ratings),3.8,Good,"Parking facility, Free Wifi, Power backup, + 10 more","Indonesia, Jakarta",Indonesia Standard Double,14 people booked this hotel in last 6 hours,74,82099,85,547327
Super OYO Townhouse 1 Hotel Salemba,Rp205.222,74% off,(816 Ratings),4.7,Excellent,"Dining area, checkmark Created with Sketch. Reception, checkmark Created with Sketch. Room service, + 59 more","Near Taman Ismail Marzuki, Jakarta",Indonesia Deluxe Double,21 people booked this hotel in last 6 hours,816,205222,74,789315
Hotel O Puri Lotus,Rp149.544,74% off,(384 Ratings),4.5,Excellent,"Parking facility, Gym, Dining area, + 7 more","Near Cinere Bellevue Mall, Jakarta",Indonesia Standard Double,6 people booked this hotel in last 6 hours,384,149544,74,575169
Hotel O Residence Khoe,Rp207.303,75% off,(775 Ratings),4.8,Excellent,"Parking facility, checkmark Created with Sketch. Reception, Free Wifi, + 11 more","Near Grogol petamburan, Jakarta",Indonesia Deluxe Double,11 people booked this hotel in last 6 hours,775,207303,75,829212
Hotel O Near Pasar Baru,Rp135.000,75% off,(515 Ratings),4.5,Excellent,"checkmark Created with Sketch. Reception, checkmark Created with Sketch. Fire extinguisher, AC, + 1 more","Near Pasar Baru, Jakarta",Indonesia Standard Double,12 people booked this hotel in last 6 hours,515,135000,75,540000
Hotel O J&b Rooms Tomang,Rp145.599,68% off,(737 Ratings),4.4,Very Good,"Balcony, AC, AC, + 2 more",Near Central Park Mall,Indonesia Standard Double,13 people booked this hotel in last 6 hours,737,145599,68,454997
